stafkey,susrpw,susrsec,susrtyp,ssalut,snamef,snamemi,snamel,slogid,stitle,sorg,sdept,saddrnum,saddrst1,saddrst2,saddrcty,saddrstt,saddrcnty,saddrzip,stelw,stelwex,stelfax,stelh,staduser,stadtime,stmduser,stmdtime,stc1,stc2,stc3,stc4,snotes,sorc1,sorc2,sorc3,sorc4,sactive,ssys,sspare1,sspare2,sspare3,sspare4,ssn,sfnod,sdob,sgender,shomeless,stermill,sfinhard,sadvage,smoh,svsi,spow,sals,spgwv,sincar
101713,,,VETERAN,Jr.,Glenda,Q,Wintheiser,561865298S,Ms.,Voluptatem dolorem enim error voluptates.,,,7015 Casper Springs,Apt. 372,Port Zackburgh,WV,PRK,95768-1278,(502) 458-5646,0737,1-931-015-1173,1-221-885-0150 x5644,NBINS,1995-06-02,FFRAMI,2016-11-13,,,,,,,,,,A,,Homenick,,,,353040234,,1970-10-12,M,,,,,,,,,,
113789,,,VETERAN,DDS,Thaddeus,P,Schmeler,533404509S,Mr.,Eius dolore et temporibus consequatur voluptatibus molestiae et vitae.,Iusto impedit ut et illum.,,53462 Mikayla Road,,West Virginiamouth,NE,ESH,17354-3058,(575) 006-7313 x8183,1633,(766) 641-1192 x99547,555-432-1696,NBINS,1995-06-12,DSWIFT1,2017-09-06,,,,,,,,,,A,,Macejkovic,Elissa,X,,510158615,,1986-03-08,M,,,,,,,,,,
149670,,,VETERAN,Jr.,Cathy,R,Haley,214130681S,Miss,Aliquam iusto iure et fuga aut.,Ut nihil neque quis tenetur molestias aut et vitae.,,28789 Neoma Valley,Suite 217,South Devante,AK,WSM,35437,120.876.8081 x45797,4440,,509.504.2723 x51379,NBINS,1995-06-12,RO39,2017-06-16,,,,,Animi consequatur voluptatem assumenda.,,,,,A,,Lindgren,Marquise,A,,527139459,,1966-05-23,F,,,,,,,,,,
163760,,,VETERAN,III,Vergie,P,Parker,372788266S,Ms.,Libero dolor doloribus maxime.,Et tempora molestiae voluptas minima.,,62659 Brianne Village,Suite 321,Hegmannton,NM,ALA,38810-0698,921.175.4701,0796,252-674-9393,(445) 688-2668 x369,NBINS,1995-06-20,RO55,2017-04-06,,,,,,,,,,A,,,Noemi,,,420076205,,1966-06-15,M,,,,,,,,,,
164215,,,VETERAN,Jr.,Dewitt,Q,Daniel,393372718S,Miss,Possimus omnis exercitationem inventore ut similique ullam.,Maiores tempore veniam tempora consectetur veritatis cupiditate.,,8805 Ferry Inlet,,Port Auroreborough,PA,TJK,39818-2276,381.948.6869 x5173,,,741-150-0324 x486,NBINS,1995-06-20,FFRAMI,2017-03-27,,,,,,,,,,A,,,,,,,,1971-12-26,F,,,,,,,,,,
188147,,,VETERAN,I,Waylon,F,Hills,801492073S,Mr.,Distinctio aut non quia dolor consequatur dolorem aspernatur.,,,9498 Greenfelder Way,,West Juliastad,WI,AND,29114-7377,647-833-4862 x349,,,,NBINS,1995-06-20,RO44,2016-08-04,,,,,Maiores id repellendus soluta.,,,,,A,,,,,,246972933,,,M,,,,,,,,,,
197071,,,VETERAN,I,Raymundo,I,Homenick,428554896S,Ms.,,Dolore dolor molestias veritatis in qui.,,357 Jacques Rapid,,West Shaina,TN,IRQ,66509-2123,944.439.4041,9108,(434) 317-0450,784-525-1932,NBINS,1995-06-26,VRMUSER,2017-02-22,,,,,Non ut tempore quo.,,,,, ,,Bechtelar,Margret,,,756561025,,1985-12-08,M,,,,,,,,,,
197558,,,VETERAN,MD,Celine,A,Mayert,480263159S,Miss,,Quia qui voluptas similique aut quasi nostrum autem.,,9853 Hirthe Cliff,Suite 859,New Abdulhaven,WY,IRL,59429,794-636-2940 x20457,6800,191-748-7755,671-350-6388,NBINS,1995-06-26,KBERGNAUM,2017-08-28,,,,,,,,,,A,,,Jarret,,,522384679,,1972-01-23,F,,,,,,,,,,
230880,,,VETERAN,DDS,Terry,P,Gibson,244445074S,Mr.,Quis perspiciatis doloribus rerum quo.,Corporis deleniti dolor aspernatur.,,9305 Ramiro Plains,Apt. 745,New Sincereland,MS,VGB,32673,1-757-538-2486,9349,653.465.7429 x029,326-748-3189 x680,NBINS,1995-07-07,RO18,2017-09-26,,,,,Assumenda iure omnis enim et vitae.,,,,,A,,Goodwin,Parker,,,632648656,,1980-07-21,M,,,,,,,,,,
242916,,,VETERAN,II,Anthony,O,Lang,594116817S,Dr.,Labore est rerum optio cum.,Blanditiis consequatur et et aliquam provident.,,5012 Elna Mountains,Apt. 926,Doylestad,MN,BHS,91818,406.658.1265 x0703,5985,750-166-8289,(744) 210-0177,NBINS,1995-07-07,DSWIFT1,2017-09-15,,,,,,,,,,A,,,,,,,,1987-06-28,F,,,,,,,,,,
246948,,,VETERAN,II,Lura,I,Cormier,438223790S,Mr.,Ut officia est odio pariatur ut alias aut.,,,5869 Leannon Streets,,Starkville,OH,UZB,49331,(866) 681-5761,5064,(584) 367-5751 x6034,1-732-254-3488,NBINS,1995-07-07,RO29,2015-10-13,,,,,,,,,, ,,,Adrain,R,,713621240,,,F,,,,,,,,,,
24870,,,VETERAN,MD,Domenic,N,Gislason,815436134S,Miss,Voluptates minus dolor nihil esse ut est accusantium.,,,33071 Shanahan Shores,,South Ciceroville,HI,WSM,88838,905-814-0236,,(230) 008-3821 x9680,138.817.3089 x061,NBINS,1995-05-25,RO55,2017-06-27,,,,,,,,,,A,,Steuber,Juliet,R,,,,1961-01-19,F,,,,,,,,,,
253403,,,VETERAN,II,Karianne,K,Frami,486168518S,Mrs.,Dignissimos mollitia minus nihil quos asperiores non deserunt.,,,9586 Grady Key,,North Clayland,GA,ALB,70441,1-517-375-5193,,,151-891-9770,NBINS,1995-07-07,KBERGNAUM,2017-09-06,,,,,,,,,,A,,,,,,383976721,,,F,,,,,,,,,,
27124,,,VETERAN,V,Elena,N,Wisoky,941202459S,Ms.,,Quidem cupiditate et nihil.,,9690 Bailey Center,,New Vaughnside,CO,LKA,16401,151-699-9970 x458,,,,NBINS,1995-05-25,RO54,2017-10-14,,,,,,,,,, ,,,,,,,,1963-03-18,M,,,,,,,,,,
