stafkey,susrpw,susrsec,susrtyp,ssalut,snamef,snamemi,snamel,slogid,stitle,sorg,sdept,saddrnum,saddrst1,saddrst2,saddrcty,saddrstt,saddrcnty,saddrzip,stelw,stelwex,stelfax,stelh,staduser,stadtime,stmduser,stmdtime,stc1,stc2,stc3,stc4,snotes,sorc1,sorc2,sorc3,sorc4,sactive,ssys,sspare1,sspare2,sspare3,sspare4,ssn,sfnod,sdob,sgender,shomeless,stermill,sfinhard,sadvage,smoh,svsi,spow,sals,spgwv,sincar
149670,,,VETERAN,Jr.,Cathy,R,Haley,214130681S,Miss,Aliquam iusto iure et fuga aut.,Ut nihil neque quis tenetur molestias aut et vitae.,,28789 Neoma Valley,Suite 217,South Devante,AK,WSM,35437,120.876.8081 x45797,4440,,509.504.2723 x51379,NBINS,1995-06-12,RO39,2017-06-16,,,,,Animi consequatur voluptatem assumenda.,,,,,A,,Lindgren,Marquise,A,,527139459,,1966-05-23,F,,,,,,,,,,
188147,,,VETERAN,I,Waylon,F,Hills,801492073S,Mr.,Distinctio aut non quia dolor consequatur dolorem aspernatur.,,,9498 Greenfelder Way,,West Juliastad,WI,AND,29114-7377,647-833-4862 x349,,,,NBINS,1995-06-20,RO44,2016-08-04,,,,,Maiores id repellendus soluta.,,,,,A,,,,,,246972933,,,M,,,,,,,,,,
197071,,,VETERAN,I,Raymundo,I,Homenick,428554896S,Ms.,,Dolore dolor molestias veritatis in qui.,,357 Jacques Rapid,,West Shaina,TN,IRQ,66509-2123,944.439.4041,9108,(434) 317-0450,784-525-1932,NBINS,1995-06-26,VRMUSER,2017-02-22,,,,,Non ut tempore quo.,,,,, ,,Bechtelar,Margret,,,756561025,,1985-12-08,M,,,,,,,,,,
230880,,,VETERAN,DDS,Terry,P,Gibson,244445074S,Mr.,Quis perspiciatis doloribus rerum quo.,Corporis deleniti dolor aspernatur.,,9305 Ramiro Plains,Apt. 745,New Sincereland,MS,VGB,32673,1-757-538-2486,9349,653.465.7429 x029,326-748-3189 x680,NBINS,1995-07-07,RO18,2017-09-26,,,,,Assumenda iure omnis enim et vitae.,,,,,A,,Goodwin,Parker,,,632648656,,1980-07-21,M,,,,,,,,,,
24870,,,VETERAN,MD,Domenic,N,Gislason,815436134S,Miss,Voluptates minus dolor nihil esse ut est accusantium.,,,33071 Shanahan Shores,,South Ciceroville,HI,WSM,88838,905-814-0236,,(230) 008-3821 x9680,138.817.3089 x061,NBINS,1995-05-25,RO55,2017-06-27,,,,,,,,,,A,,Steuber,Juliet,R,,,,1961-01-19,F,,,,,,,,,,
280665,,,VETERAN,DDS,Elda,Z,Quigley,350882066S,Miss,Sapiente quia mollitia dolore quam vel quae perspiciatis quia.,Incidunt temporibus consectetur natus consequatur at.,,151 Carey Lodge,Apt. 959,Julianatown,MT,AFG,71859,1-363-613-1373,,395-214-5829,129.917.2232 x92671,NBINS,1995-07-07,RO14,2017-05-02,,,,,Eos reiciendis voluptas quasi similique voluptatum odio.,,,,, ,,,,T,,852145049,,,M,,,,,,,,,,
317E5524,,,VETERAN,PhD,Rowena,J,Klein,702352251S,Miss,,In et deserunt odio enim minus omnis.,,73923 Deon Club,,Armandoborough,IN,TUN,16161,(515) 559-6691 x655,,800.767.7198 x89368,,TBOSCO,1996-04-24,RO55,2017-06-20,,,,,,,,,,A,,Durgan,,I,,,1993-10-03,,F,,,,,,,,,,
31BF258F,,,VETERAN,IV,Darby,P,Goldner,547258200S,Mrs.,,Eum sunt sapiente praesentium.,,24942 Maya Crest,Apt. 528,Nasirberg,NE,WSM,87882,243.088.4682 x58434,4112,,,FABSHIRE,1996-06-12,RO18,2015-09-23,,,,,Aut voluptates asperiores sit numquam laudantium deleniti.,,,,, ,,Stoltenberg,Gabriella,T,,,,,M,,,,,,,,,,
31DAC110,,,VETERAN,DDS,Kayden,J,Reilly,265230375S,Mrs.,,Aut ipsa libero placeat.,,252 Thiel Lane,Suite 609,Caterinaburgh,NV,HTI,40372-6632,273.422.5295 x39004,1866,,,DCRUICKSH,1996-07-03,RO55,2017-08-31,,,,,,,,,, ,,,,J,,243493055,,1965-03-19,M,,,,,,,,,,
31EE7C66,,,VETERAN,II,Lew,V,Barrows,587825751S,Mrs.,,Est quae et ratione.,,553 Franecki Shores,,East Amely,NY,SWZ,96504,1-309-528-2810 x21948,,,275.436.2495,DCRUICKSH,1996-07-18,VRMUSER,2017-03-21,,,,,Doloribus tenetur unde esse dolorem aut quos enim.,,,,, ,,,,V,,385668997,,1985-11-28,M,,,,,,,,,,
