stafkey,susrpw,susrsec,susrtyp,ssalut,snamef,snamemi,snamel,slogid,stitle,sorg,sdept,saddrnum,saddrst1,saddrst2,saddrcty,saddrstt,saddrcnty,saddrzip,stelw,stelwex,stelfax,stelh,staduser,stadtime,stmduser,stmdtime,stc1,stc2,stc3,stc4,snotes,sorc1,sorc2,sorc3,sorc4,sactive,ssys,sspare1,sspare2,sspare3,smemgrp,sfoiasec,srptsec,sattyid,svlj,sinvsec,sdomainid
SBRADTKE,,,,,Sydnie,V,Bradtke,SBRADTKE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,448,,,1001,,,BVASBRADTKE
FKUNZE,,,,,Fern,M,Kunze,FKUNZE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,997,,,
RCREMIN,,,,,Russel,W,Cremin,RCREMIN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,511,,,998,,,
LHAMMES,,,,,Lonie,Z,Hammes,LHAMMES,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1000,,,
GHILLL,,,,,George,X,Hilll,GHILLL,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1002,,,
VKERLUKE,,,,,Vladimir,P,Kerluke,VKERLUKE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1004,,,
WKASSULKE,,,,,Willis,D,Kassulke,WKASSULKE,MHALEY,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1003,,,
AJERDE,,,,,Andre,Z,Jerde,AJERDE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1005,,,
CRAYNOR,,,,,Camila,R,Raynor,CRAYNOR,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
BRICE,,,,,Brandy,V,Rice,BRICE,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVABRICE
HGISLASON,,,,,Hilda,E,Gislason,HGISLASON,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
LJACOBSON,,,,,Lurline,Q,Jacobson,LJACOBSON,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
