tbyear,tbtrip,tbleg,tbro,tbstdate,tbenddate,tbmem1,tbmem2,tbmem3,tbmem4,tbaty1,tbaty2,tbaty3,tbaty4,tbadduser,tbaddtime,tbmoduser,tbmodtime,tbcancel,tbbvapoc,tbropoc
2017,2,true,RO77,2016-10-03 00:00:00 UTC,2016-10-07 00:00:00 UTC,386,,,,,,,,VHERMISTO,2016-08-16 12:48:22 UTC,SBARTELL,2016-12-16 10:50:41 UTC,,Dr. Deonte McDermott (367) 451-1481,Ima Murphy 1-536-747-8227 x4352
2017,6,true,RO22,2016-10-17 00:00:00 UTC,2016-10-21 00:00:00 UTC,611,945,,,,,,,VHERMISTO,2016-08-16 13:04:09 UTC,,,,Albin Cummings V 302.831.7256,Moses Rempel Jr. 590.149.8009 x5887
2017,11,true,RO31,2016-10-31 00:00:00 UTC,2016-11-04 00:00:00 UTC,955,,,,,,,,VHERMISTO,2016-08-16 13:55:13 UTC,,,,Jack Dietrich (214) 369-5258 x3993,Tyreek Weissnat DDS 298.737.0052
2017,15,true,RO62,2016-11-14 00:00:00 UTC,2016-11-18 00:00:00 UTC,778,464,,,,,,,VHERMISTO,2016-08-16 13:59:06 UTC,,,,Remington Will 701-469-9259,Rollin Mitchell 423.986.8197 x526
2017,19,true,RO45,2016-11-14 00:00:00 UTC,2016-11-18 00:00:00 UTC,178,090,,,,,,,VHERMISTO,2016-08-16 14:05:36 UTC,,,,Raphaelle Tremblay 224-615-9889,Jody Hickle 250.728.9527 x864
2017,23,true,RO29,2017-01-23 00:00:00 UTC,2017-01-27 00:00:00 UTC,1590,909,,,,,,,VHERMISTO,2016-08-16 14:35:28 UTC,,,,Mrs. Laurence Wyman 425.842.6754,Arch Hauck (389) 610-3136
2017,27,true,RO19,2017-02-06 00:00:00 UTC,2017-02-10 00:00:00 UTC,471,586,,,,,,,VHERMISTO,2016-08-16 14:39:56 UTC,,,,Mr. Etha Boehm 495.823.3643 x77107,Waylon Ferry 858-806-7910
2017,31,true,RO17,2017-02-13 00:00:00 UTC,2017-02-17 00:00:00 UTC,598,748,738,,,,,,VHERMISTO,2016-08-16 14:55:39 UTC,VHERMISTO,2016-09-22 07:16:58 UTC,,Angelita Cummings (923) 490-2375,Ms. Arvel Padberg 183-286-1790 x833
2017,36,true,RO13,2017-03-13 00:00:00 UTC,2017-03-15 00:00:00 UTC,1223,,,,,,,,VHERMISTO,2016-08-17 08:48:33 UTC,,,,Allison Parker II 1-124-436-8520 x658,Jasen Hayes 898-313-6265 x7072
2017,41,true,RO25,2017-04-03 00:00:00 UTC,2017-04-07 00:00:00 UTC,398,467,,,,,,,VHERMISTO,2016-08-17 08:59:24 UTC,VHERMISTO,2016-08-17 08:59:38 UTC,,Ms. Winifred Graham 1-129-488-5455 x90355,Kaci Lindgren 164-774-7453
